Year,Month,Bakerloo,Central,Jubilee,Northern,Piccadilly,Victoria,Waterloo_and_City,Sub-surface_lines,,
2020,January,25.38,23.81,19.73,23.36,21.53,25.92,19.06,14.29,,"Temperatures are in DegC (drybulb) and represent the average monthly temperatures recorded during weekday, evening peak hours (4pm-7pm)"
2020,February,24.97,23.88,20.21,23.19,21.25,26.05,18.93,14.01,,
2020,March,24.81,23.4,19.33,22.57,21.05,24.41,18.53,14.08,,
2020,April,25.23,22.91,19.58,22.62,20.99,22.44,18.68,16.38,,
2020,May,27.12,24.17,21.28,23.75,22.35,23.02,19.31,19.42,,
2020,June,28.83,26.7,23.58,25.65,24.7,26.39,20.55,22.02,,
2020,July,29.96,28.62,24.86,26.79,25.89,27.82,21.14,23.31,,
2020,August,31.18,30.5,26.18,28.21,27.35,29.64,22.05,24.94,,
2020,September,30.41,29.14,24.16,27.48,26.29,29.11,20.6,22.33,,
2020,October,27.71,26.38,21.2,25.55,23.76,27.88,18.1,17.64,,
2020,November,26.52,25.31,20.71,24.34,22.47,26.09,17.53,16.1,,
2020,December,24.11,23.42,18.31,22.56,20.43,24.11,15.37,13.36,,
2021,January,21.93,21.71,16.56,21.11,18.77,21.97,13.69,11.18,,
2021,February,21.72,22.03,17.98,21.18,18.98,23.28,13.93,12.09,,
2021,March,22.35,22.63,19.13,21.78,19.68,23.73,14.58,13.93,,
2021,April,23.01,23.61,19.22,21.98,20.6,24.18,15.04,15.28,,
2021,May,24.14,24.48,20.03,23.21,21.7,25.67,16.17,17.34,,
2021,June,27.37,28.14,23.59,26.19,25.04,28.99,20.12,23,,
2021,July,28.49,29.32,24.7,27.35,26.22,29.86,21.56,24.1,,
2021,August,28.41,29.22,23.97,27.23,26.09,29.18,21.3,22.44,,
2021,September,29.09,29.32,24.12,27.49,26.1,29.94,21.49,23.56,,
2021,October,27.48,27.18,22.27,26,24.4,28.28,19.76,20.05,,
2021,November,25.34,24.88,20.08,24.27,22.42,26.57,17.9,16.55,,
2021,December,23.64,23.12,18.02,22.88,20.52,25.05,17.25,13.82,,
2022,January,23.01,22.5,17.59,21.68,19.86,24.47,15.51,13.85,,
2022,February,23.15,23.02,18.08,21.39,20.32,24.4,16.93,14.75,,
2022,March,23.05,23.86,19.32,21.75,20.92,24.06,17.59,15.88,,
2022,April,24.56,24.81,20.73,22.68,22.2,26.18,18.69,17.52,,
2022,May,26.15,26.83,22.4,24.61,24.18,27.84,20.69,21.06,,
2022,June,27.36,28.28,24.1,26.17,25.65,29.04,21.84,23.42,,
2022,July,29.44,30.26,26.3,28.39,27.67,30.82,23.99,26.76,,
2022,August,30.4,31.32,26.86,29.15,28.39,31.18,24.96,27.39,,
2022,September,29.21,29.62,24.97,28.14,26.93,30.84,23.43,23.32,,
2022,October,27.58,27.97,23.38,26.93,25.33,29.89,22.21,21.14,,
2022,November,26.02,25.82,21.27,25.31,23.43,27.32,20.27,17.5,,
2022,December,23.35,22.82,17.34,22.73,20.59,25.8,15.97,12.21,,
